game/settings,Settings
game/resolution,Resolution
game/fullscreen,Fullscreen
game/save,Save
game/music,Music
game/language,Language
game/backToMenu,Back to menu
game/startGame,Start new game
game/loadGame,Load game
game/exit,Exit game
game/credits,Credits
game/turn,Turn {turn}
game/currentChapter,{chapter}
game/endTurn,End turn
game/help,Help
game/mainMenu,Menu
game/clickToContinue,"Click to continue..."
game/loading,"Loading..."
action/battleground,Battleground
action/craftMedicine,Craft medicine
action/cutTrees,Cut trees
action/diplomacy,Diplomacy
action/fishing,Fishing
action/gemMining,Gem mining
action/heal1,Basic care
action/heal2,Light treatment
action/heal3,Radical treatment
action/gatherHerbs,Gather herbs
action/leatherTanning,Leather tanning
action/preparingFood,Preparing food
action/merchant,Merchant
action/sellGems,Sell gems
action/collectStone,Collect stone
action/settingTraps,Setting traps
action/collectWater,Water collecting
action/woodGathering,Wood gathering
action/description/reputation,The reputation of the person being sent affects their efficiency.
build/miningEquipment,Construct mining equipment
build/fisherman,Rebuild fisherman's cottage
build/herbalist,Rebuild herbalist's cottage
build/hospital,Expand field hospital
build/hunter,Rebuild hunter's cottage
build/lumberjack,Rebuild lumberjack's cottage
build/watchtower,Rebuild watchtower
build/waterCollector,Build water collector
building/miningEquipment,Allows sending people to mine gems.
building/fisherman,Unlocks new method of collecting food.
building/herbalist,Unlocks preparing food and crafting medicine.
building/hospital,"Unlocks additional, better treatment."
building/hunter,Unlocks leather tanning.
building/lumberjack,Adds better way of collecting the wood
building/watchtower,Allows to see incoming events earlier.
building/waterCollector,"Gives small, pernament water gain."
chapter/summer,Summer
chapter/fall,Fall
chapter/winter,Winter
chapter/spring,Spring
chapter/finale,Finale
event/label/requirements,Requirements:
event/label/success,Success:
event/label/failure,Failure:
event/animals/title,Wild animals
event/bandits/title,Bandits
event/cold/title,Rapid cooling
event/envoyTharros/title,Emissary of Tharros
event/envoySalvante/title,Emissary of Salvante
event/epidemic/title,Epidemic
event/firewood/title,Firewood
event/food/title,Food supplies
event/foodPreservation/title,Food preservation
event/heat/title,Heatwave
event/merchant/title,Arrival of the merchant
event/water/title,Water reserves
event/animals/description,"Wild animals are getting closer and closer to the village and are eating up the food supplies. You have to supply the inhabitants with basic tools for defense and prepare traps and snares."
event/bandits/description,"A group of bandits appeared in the area. They will probably try to rob us. We need to set traps and equip ourselves with weapons."
event/cold/description,"The weather starts to get crazy, it gets very cold. We need extra firewood to keep people from getting sick."
event/envoyTharros/description,"An envoy from one of the countries has arrived in the village. In exchange for specific goods, he is able to look at your situation more favorably."
event/envoySalvante/description,"An envoy from one of the countries has arrived in the village. In exchange for specific goods, he is able to look at your situation more favorably."
event/epidemic/description,"People in the village are starting to get sick. We need to prepare medicine."
event/firewood/description,"It's too cold. We need firewood to heat the cottages."
event/food/description,"We need to stockpile food for the next few weeks."
event/foodPreservation/description,"Our food is slowly spoiling. If we do not preserve it properly, it will not be fit for use."
event/heat/description,"Temperatures are getting more and more oppressive. We need to prepare additional water supplies."
event/merchant/description,"A merchant stopped near the village. Maybe it's worth trading with him?"
event/water/description,"We need to accumulate a supply of water for the next few weeks."
messages/ending1/title,Death of the villagers
messages/ending2/title,Destruction of the village
messages/ending3/title,Joining Tharros
messages/ending4/title,Joining Salvante
messages/ending5/title,Declaration of independent territory
messages/finale/title,The truce is coming to an end
messages/fall/title,Autumn begins.
messages/prologue/title,Prologue
messages/spring/title,Spring begins.
messages/winter/title,Winter begins.
messages/summer/title,Summer begins.
messages/ending1/description,"Living conditions in the village were worsening day by day. The settlers had less and less strength, were more often ill and suffered from lack of basic resources. With time, the first deaths occurred, and the situation began to deteriorate. In the end, no one managed to survive even until the slowly returning conflict was resolved."
messages/ending2/description,"The time of truce is coming to an end. The inhabitants have failed to communicate with any of the representatives of the rulers. Both armies enter the disputed areas, the village is completely destroyed. Hiding people pursued by the countries are arrested or killed. Others are robbed of all possessions and left to die."
messages/ending3/description,"The time of truce comes to an end. The villagers succeed in negotiating voluntary incorporation into the kingdom of Tharros. Most of the inhabitants are pardoned from minor crimes, become citizens of this expansive power, and the village area is taken over and adapted for mining."
messages/ending4/description,"The time of truce comes to an end. The inhabitants manage to negotiate a voluntary annexation to the merchant state of Salvante. The inhabitants are pardoned of any guilt, become citizens of this rich country, and are given the opportunity to stay on familiar lands. The mining industry begins to expand in the village."
